"SYMBOL","NAME OF COMPANY"," SERIES"," DATE OF LISTING"," PAID UP VALUE"," MARKET LOT"," ISIN NUMBER"," FACE VALUE"
"20MICRONS","20 Microns Limited","EQ","06-OCT-2008",10,1,"INE144J01019",10
"3IINFOTECH","3i Infotech Limited","EQ","22-APR-2005",10,1,"INE748C01020",10
"3MINDIA","3M India Limited","EQ","13-AUG-2004",10,1,"INE470A01017",10
"A2ZMES","A2Z Maintenance & Engineering Services Limited","EQ","23-DEC-2010",10,1,"INE619I01012",10
"AARTIDRUGS","Aarti Drugs Limited","EQ","19-SEP-2003",10,1,"INE767A01016",10
"AARTIIND","Aarti Industries Limited","EQ","08-FEB-1995",5,1,"INE769A01020",5
"AARVEEDEN","Aarvee Denims & Exports Limited","EQ","21-NOV-2006",10,1,"INE273D01019",10
"ABAN","Aban Offshore Limited","EQ","29-MAR-1995",2,1,"INE421A01028",2
"ABB","ABB Limited","EQ","08-FEB-1995",2,1,"INE117A01022",2
"ABBOTINDIA","Abbott India Limited","EQ","08-JAN-2010",10,1,"INE358A01014",10
"ABCIL","Aditya Birla Chemicals (India) Limited","EQ","05-DEC-2005",10,1,"INE605B01016",10
"ABGSHIP","ABG Shipyard Limited","EQ","11-APR-2007",10,1,"INE067H01016",10
"ABHISHEK","Abhishek Corporation Limited","EQ","19-MAR-2007",10,1,"INE004I01017",10
"ABIRLANUVO","Aditya Birla Nuvo Limited","EQ","13-SEP-1995",10,1,"INE069A01017",10
"ABSHEKINDS","Abhishek Industries Limited","EQ","21-FEB-2001",10,1,"INE064C01014",10
"ACC","ACC Limited","EQ","20-NOV-1996",10,1,"INE012A01025",10
"ACE","Action Construction Equipment Limited","EQ","26-SEP-2006",2,1,"INE731H01025",2
"ACKRUTI","Ackruti City Limited","EQ","07-FEB-2007",10,1,"INE703H01016",10
"ADANIENT","Adani Enterprises Limited","EQ","04-JUN-1997",1,1,"INE423A01024",1
"ADANIPOWER","Adani Power Limited","EQ","20-AUG-2009",10,1,"INE814H01011",10
"ADFFOODS","ADF Foods Limited","EQ","15-SEP-2010",10,1,"INE982B01019",10
"ADHUNIK","Adhunik Metaliks Limited","EQ","05-APR-2006",10,1,"INE400H01019",10
"ADORWELD","Ador Welding Limited","EQ","10-MAY-1995",10,1,"INE045A01017",10
"ADSL","Allied Digital Services Limited","EQ","25-JUL-2007",5,1,"INE102I01027",5
"ADVANIHOTR","Advani Hotels & Resorts (India) Limited","EQ","25-JUN-2007",2,1,"INE199C01026",2
"ADVANTA","Advanta India Limited","EQ","19-APR-2007",10,1,"INE517H01010",10
"AEGISCHEM","Aegis Logistics Limited","EQ","03-APR-1996",10,1,"INE208C01017",10
"AFL","Accel Frontline Limited","EQ","30-OCT-2006",10,1,"INE020G01017",10
"AFTEK","Aftek Limited","EQ","16-AUG-2000",2,1,"INE796A01023",2
"AGCNET","AGC Networks Limited","EQ","22-JUL-2003",10,1,"INE676A01019",10
"AGRE","Agre Developers Limited","EQ","31-DEC-2010",10,1,"INE360L01017",10
"AGRODUTCH","Agro Dutch Industries Limited","EQ","27-SEP-2000",10,1,"INE135B01014",10
"AHLEAST","Asian Hotels (East) Limited","EQ","11-AUG-2010",10,1,"INE926K01017",10
"AHLUCONT","Ahluwalia Contracts (India) Limited","EQ","14-DEC-2009",2,1,"INE758C01029",2
"AHLWEST","Asian Hotels (West) Limited","EQ","05-AUG-2010",10,1,"INE915K01010",10
"AHMEDFORGE","Ahmednagar Forgings Limited","EQ","23-AUG-1995",10,1,"INE425A01011",10
"AIAENG","AIA Engineering Limited","EQ","14-DEC-2005",2,1,"INE212H01026",2
"AJANTPHARM","Ajanta Pharma Limited","EQ","29-MAY-2000",10,1,"INE031B01015",10
"AJMERA","Ajmera Realty & Infra India Limited","EQ","16-JUN-2009",10,1,"INE298G01027",10
"AKSHOPTFBR","Aksh Optifibre Limited","EQ","18-AUG-2000",5,1,"INE523B01011",5
"AKZOINDIA","Akzo Nobel India Limited","EQ","28-JUN-2001",10,1,"INE133A01011",10
"ALBK","Allahabad Bank","EQ","29-NOV-2002",10,1,"INE428A01015",10
"ALCHEM","Alchemist Limited","EQ","31-JUL-2007",10,1,"INE964B01033",10
"ALEMBICLTD","Alembic Limited","EQ","22-SEP-1999",2,1,"INE426A01027",2
"ALFALAVAL","Alfa Laval (India) Limited","EQ","08-FEB-1995",10,1,"INE427A01017",10
"ALKALI","Alkali Metals Limited","EQ","06-NOV-2008",10,1,"INE773I01017",10
"ALKYLAMINE","Alkyl Amines Chemicals Limited","EQ","26-NOV-2007",10,1,"INE150B01013",10
"ALLCARGO","Allcargo Global Logistics Limited","EQ","23-JUN-2006",2,1,"INE418H01029",2
"ALLSEC","Allsec Technologies Limited","EQ","09-MAY-2005",10,1,"INE835G01018",10
"ALLSEC","Allsec Technologies Limited","TT","09-MAY-2005",10,1,"INE835G01018",10
"ALMONDZ","Almondz Global Securities Limited","EQ","16-JUN-2008",6,1,"INE326B01027",6
"ALOKTEXT","Alok Industries Limited","EQ","10-APR-1996",10,1,"INE270A01011",10
"ALPA","Alpa Laboratories Limited","EQ","06-AUG-2007",10,1,"INE385I01010",10
"ALPHAGEO","Alphageo (India) Limited","EQ","11-MAY-2007",10,1,"INE137C01018",10
"ALPSINDUS","Alps Industries Limited","EQ","24-APR-1996",10,1,"INE093B01015",10
"AMAR","Amar Remedies Limited","EQ","16-SEP-2005",10,1,"INE787G01011",10
"AMARAJABAT","Amara Raja Batteries Limited","EQ","05-SEP-2003",2,1,"INE885A01024",2
"AMARJOTHI","Amarjothi Spinning Mills Limited","EQ","08-JAN-2010",10,1,"INE484D01012",10
"AMBIKCO","Ambika Cotton Mills Limited","EQ","29-JAN-2008",10,1,"INE540G01014",10
"AMBUJACEM","Ambuja Cements Limited","EQ","18-FEB-1998",2,1,"INE079A01024",2
"AMDIND","AMD Industries Limited","EQ","19-MAR-2007",10,1,"INE005I01014",10
"AMLSTEEL","AML Steel Limited","EQ","08-JAN-2010",10,1,"INE577F01018",10
"AMRUTANJAN","Amrutanjan Health Care Limited","EQ","05-NOV-2009",10,1,"INE098F01015",10
"AMTEKAUTO","Amtek Auto Limited","EQ","02-MAR-2005",2,1,"INE130C01021",2
"AMTEKINDIA","Amtek India Limited","EQ","27-JUN-2005",2,1,"INE068D01021",2
"ANANTRAJ","Anant Raj Industries Limited","EQ","27-SEP-2006",2,1,"INE242C01024",2
"ANDHRABANK","Andhra Bank","EQ","04-APR-2001",10,1,"INE434A01013",10
"ANDHRACEMT","Andhra Cements Limited","EQ","08-NOV-2010",10,1,"INE666E01012",10
"ANDHRSUGAR","The Andhra Sugars Limited","EQ","01-NOV-1995",10,1,"INE715B01013",10
"ANGIND","ANG Industries Limited","EQ","12-FEB-2007",10,1,"INE017D01010",10
"ANIKINDS","Anik Industries Limited","EQ","21-MAY-2008",10,1,"INE087B01017",10
"ANKURDRUGS","Ankur Drugs And Pharma Limited","EQ","22-MAY-2007",10,1,"INE238D01012",10
"ANSALAPI","Ansal Properties & Infrastructure Limited","EQ","27-JAN-2006",5,1,"INE436A01026",5
"ANSALHSG","Ansal Housing and Construction Limited","EQ","06-OCT-2006",10,1,"INE880B01015",10
"ANTGRAPHIC","Antarctica Limited","EQ","31-DEC-1997",1,1,"INE414B01021",1
"APARINDS","Apar Industries Limited","EQ","12-JUL-2004",10,1,"INE372A01015",10
"APCOTEXIND","Apcotex Industries Limited","EQ","06-SEP-1995",10,1,"INE116A01016",10
"APIL","Alstom Projects India Limited","EQ","19-APR-2000",10,1,"INE878A01011",10
"APLAB","Aplab Limited","EQ","30-JUN-2010",10,1,"INE273A01015",10
"APOLLOHOSP","Apollo Hospitals Enterprise Limited","EQ","10-JAN-1996",5,1,"INE437A01024",5
"APOLLOTYRE","Apollo Tyres Limited","EQ","31-MAY-1995",1,1,"INE438A01022",1
"APPAPER","The Andhra Pradesh Paper Mills Limited","EQ","13-MAY-2004",10,1,"INE435A01028",10
"APTECHT","Aptech Limited","EQ","27-SEP-2002",10,1,"INE266F01018",10
"AQUA","Aqua Logistics Limited","EQ","23-FEB-2010",1,1,"INE544K01026",1
"ARCHIDPLY","Archidply Industries Limited","EQ","04-JUL-2008",10,1,"INE877I01016",10
"ARCHIES","Archies Limited","EQ","02-SEP-1998",2,1,"INE731A01020",2
"AREVAT&D","Areva T&D India Limited","EQ","30-JUN-2008",2,1,"INE200A01026",2
"ARIES","Aries Agro Limited","EQ","11-JAN-2008",10,1,"INE298I01015",10
"ARIHANT","Arihant Foundations & Housing Limited","EQ","26-DEC-2006",10,1,"INE413D01011",10
"ARL","Arvind Remedies Limited","EQ","08-JAN-2003",1,1,"INE211C01029",1
"AROGRANITE","Aro Granite Industries Limited","EQ","24-APR-2007",10,1,"INE210C01013",10
"ARSHIYA","Arshiya International Limited","EQ","14-DEC-2009",2,1,"INE968D01022",2
"ARSSINFRA","ARSS Infrastructure Projects Limited","EQ","03-MAR-2010",10,1,"INE267I01010",10
"ARVIND","Arvind Limited","EQ","08-FEB-1995",10,1,"INE034A01011",10
"ASAHIINDIA","Asahi India Glass Limited","EQ","18-MAR-1998",1,1,"INE439A01020",1
"ASAL","Automotive Stampings and Assemblies Limited","EQ","12-MAR-2002",10,1,"INE900C01027",10
"ASAL","Automotive Stampings and Assemblies Limited","TT","12-MAR-2002",10,1,"INE900C01027",10
"ASHAPURMIN","Ashapura Minechem Limited","EQ","20-SEP-1995",2,1,"INE348A01023",2
"ASHCONIUL","Ashco Niulab Industries Limited","EQ","04-OCT-2010",10,1,"INE714F01033",10
"ASHOKA","Ashoka Buildcon Limited","EQ","14-OCT-2010",10,1,"INE442H01011",10
"ASHOKLEY","Ashok Leyland Limited","EQ","25-MAY-1995",1,1,"INE208A01029",1
"ASIANELEC","Asian Electronics Limited","EQ","13-SEP-1995",5,1,"INE441A01026",5
"ASIANHOTNR","Asian Hotels (North) Limited","EQ","07-APR-2010",10,1,"INE363A01022",10
"ASIANPAINT","Asian Paints Limited","EQ","31-MAY-1995",10,1,"INE021A01018",10
"ASIANTILES","Asian Granito India Limited","EQ","23-AUG-2007",10,1,"INE022I01019",10
"ASIL","Amit Spinning Industries Limited","EQ","17-OCT-2005",5,1,"INE988A01026",5
"ASSAMCO","Assam Company India Limited","EQ","29-SEP-2006",1,1,"INE442A01024",1
"ASTEC","Astec LifeSciences Limited","EQ","25-NOV-2009",10,1,"INE563J01010",10
"ASTERSILI","Aster Silicates Limited","EQ","28-JUL-2010",10,1,"INE900K01012",10
"ASTRAL","Astral Poly Technik Limited","EQ","20-MAR-2007",5,1,"INE006I01020",5
"ASTRAMICRO","Astra Microwave Products Limited","EQ","01-NOV-2004",2,1,"INE386C01029",2
"ASTRAZEN","AstraZeneca Pharma India Limited","EQ","04-MAY-2001",2,1,"INE203A01020",2
"ATFL","Agro Tech Foods Limited","EQ","06-DEC-2002",10,1,"INE209A01019",10
"ATLANTA","Atlanta  Limited","EQ","25-SEP-2006",2,1,"INE285H01022",2
"ATLASCYCLE","Atlas Cycles (Haryana) Limited","EQ","23-OCT-1996",10,1,"INE446A01017",10
"ATNINTER","ATN International Limited","EQ","01-SEP-2006",4,1,"INE803A01027",4
"ATUL","Atul Limited","EQ","06-MAY-1998",10,1,"INE100A01010",10
"AURIONPRO","Aurionpro Solutions Limited","EQ","25-OCT-2005",10,1,"INE132H01018",10
"AUROPHARMA","Aurobindo Pharma Limited","EQ","19-JUL-2000",5,1,"INE406A01029",5
"AUSOMENT","Ausom Enterprise Limited","EQ","17-APR-1996",10,1,"INE218C01016",10
"AUTOAXLES","Automotive Axles Limited","EQ","29-MAY-2003",10,1,"INE449A01011",10
"AUTOIND","Autoline Industries Limited","EQ","31-JAN-2007",10,1,"INE718H01014",10
"AUTOLITIND","Autolite (India) Limited","EQ","31-MAY-1995",10,1,"INE448A01013",10
"AVANTI","Avanti Feeds Limited","EQ","08-JAN-2010",10,1,"INE871C01012",10
"AVENTIS","Aventis Pharma Limited","EQ","19-MAY-2003",10,1,"INE058A01010",10
"AVTNPL","AVT Natural Products Limited","EQ","10-JAN-2007",10,1,"INE488D01013",10
"AXIS-IT&T","Axis-IT&T Limited","EQ","21-DEC-2000",5,1,"INE555B01013",5
"AXISBANK","Axis Bank Limited","EQ","16-NOV-1998",10,1,"INE238A01026",10
"BAGFILMS","B.A.G Films and Media Limited","EQ","17-OCT-2003",2,1,"INE116D01028",2
"BAJAJ-AUTO","Bajaj Auto Limited","EQ","26-MAY-2008",10,1,"INE917I01010",10
"BAJAJCORP","Bajaj Corp Limited","EQ","18-AUG-2010",5,1,"INE933K01013",5
"BAJAJELEC","Bajaj Electricals Limited","EQ","02-NOV-2007",2,1,"INE193E01025",2
"BAJAJFINSV","Bajaj Finserv Limited","EQ","26-MAY-2008",5,1,"INE918I01018",5
"BAJAJHIND","Bajaj Hindusthan Limited","EQ","10-MAY-1995",1,1,"INE306A01021",1
"BAJAJHLDNG","Bajaj Holdings & Investment Limited","EQ","15-MAR-1995",10,1,"INE118A01012",10
"BAJFINANCE","Bajaj Finance Limited","EQ","01-APR-2003",10,1,"INE296A01016",10
"BALAJITELE","Balaji Telefilms Limited","EQ","22-NOV-2000",2,1,"INE794B01026",2
"BALAMINES","Balaji Amines Limited","EQ","05-APR-2007",2,1,"INE050E01027",2
"BALKRISIND","Balkrishna Industries Limited","EQ","27-JAN-2006",2,1,"INE787D01026",2
"BALLARPUR","Ballarpur Industries Limited","EQ","31-MAR-2008",2,1,"INE294A01037",2
"BALMLAWRIE","Balmer Lawrie & Company Limited","EQ","06-JUL-1995",10,1,"INE164A01016",10
"BALRAMCHIN","Balrampur Chini Mills Limited","EQ","08-FEB-1995",1,1,"INE119A01028",1
"BANARISUG","Bannari Amman Sugars Limited","EQ","28-MAY-2003",10,1,"INE459A01010",10
"BANCOINDIA","Banco Products (I) Limited","EQ","22-DEC-2006",2,1,"INE213C01025",2
"BANG","Bang Overseas Limited","EQ","20-FEB-2008",10,1,"INE863I01016",10
"BANKBARODA","Bank of Baroda","EQ","19-FEB-1997",10,1,"INE028A01013",10
"BANKBARODA","Bank of Baroda","IL","13-JAN-2000",10,1,"INE028A01013",10
"BANKINDIA","Bank of India","EQ","30-APR-1997",10,1,"INE084A01016",10
"BANKINDIA","Bank of India","IL","13-JAN-2000",10,1,"INE084A01016",10
"BANSWRAS","Banswara Syntex Limited","EQ","11-APR-2007",10,1,"INE629D01012",10
"BARTRONICS","Bartronics India Limited","EQ","12-JAN-2006",10,1,"INE855F01034",10
"BASF","BASF India Limited","EQ","17-MAY-1995",10,1,"INE373A01013",10
"BASML","Bannari Amman Spinning Mills Limited","EQ","14-NOV-2005",10,1,"INE186H01014",10
"BATAINDIA","Bata India Limited","EQ","18-JUN-2003",10,1,"INE176A01010",10
"BATLIBOI","Batliboi Limited","EQ","20-DEC-2006",5,1,"INE177C01022",5
"BAYERCROP","Bayer Cropscience Limited","EQ","08-JAN-2010",10,1,"INE462A01022",10
"BBL","Bharat Bijlee Limited","EQ","21-NOV-2006",10,1,"INE464A01028",10
"BBTC","Bombay Burmah Trading Corporation Limited","EQ","03-APR-1996",10,1,"INE050A01017",10
"BEARDSELL","Beardsell Limited","EQ","08-JAN-2010",10,1,"INE520H01014",10
"BECREL","Best & Crompton Engg. Limited","EQ","09-AUG-2010",10,1,"INE287A01015",10
"BEDMUTHA","Bedmutha Industries Limited","EQ","14-OCT-2010",10,1,"INE844K01012",10
"BEL","Bharat Electronics Limited","EQ","19-JUL-2000",10,1,"INE263A01016",10
"BELLCERATL","Bell Ceramics Limited","EQ","08-SEP-2010",10,1,"INE403A01026",10
"BEML","BEML Limited","EQ","05-NOV-2003",10,1,"INE258A01016",10
"BEPL","Bhansali Engineering Polymers Limited","EQ","21-MAR-2005",1,1,"INE922A01025",1
"BERGEPAINT","Berger Paints (I) Limited","EQ","24-NOV-1999",2,1,"INE463A01020",2
"BFINVEST","BF Investment Limited","EQ","14-JAN-2011",5,1,"INE878K01010",5
"BFUTILITIE","BF Utilities Limited","EQ","03-MAY-2007",5,1,"INE243D01012",5
"BGRENERGY","BGR Energy Systems Limited","EQ","03-JAN-2008",10,1,"INE661I01014",10
"BHAGWATIHO","Bhagwati Banquets and Hotels Limited","EQ","17-MAY-2007",10,1,"INE797H01018",10
"BHAGYNAGAR","Bhagyanagar India Limited","EQ","10-MAY-1995",2,1,"INE458B01028",2
"BHARATFORG","Bharat Forge Limited","EQ","04-APR-2003",2,1,"INE465A01025",2
"BHARATGEAR","Bharat Gears Limited","EQ","03-APR-1996",10,1,"INE561C01019",10
"BHARATRAS","Bharat Rasayan Limited","EQ","11-OCT-1995",10,1,"INE838B01013",10
"BHARTIARTL","Bharti Airtel Limited","EQ","15-FEB-2002",5,1,"INE397D01024",5
"BHARTISHIP","Bharati Shipyard Limited","EQ","30-DEC-2004",10,1,"INE673G01013",10
"BHEL","Bharat Heavy Electricals Limited","EQ","11-NOV-2003",10,1,"INE257A01018",10
"BHUSANSTL","Bhushan Steel Limited","EQ","21-NOV-2003",2,1,"INE824B01021",2
"BIL","Bhartiya International Limited","EQ","12-APR-2000",10,1,"INE828A01016",10
"BILPOWER","Bilpower  Limited","EQ","29-JAN-2007",10,1,"INE952D01018",10
"BIMETAL","Bimetal Bearings Limited","EQ","05-NOV-2009",10,1,"INE469A01019",10
"BINANICEM","Binani Cement Limited","EQ","28-MAY-2007",10,1,"INE042H01019",10
"BINANIIND","Binani Industries Limited","EQ","27-SEP-2006",10,1,"INE071A01013",10
"BINDALAGRO","Oswal Chemicals & Fertilizers Limited","EQ","28-AUG-1996",10,1,"INE143A01010",10
"BIOCON","Biocon Limited","EQ","07-APR-2004",5,1,"INE376G01013",5
"BIRLACORPN","Birla Corporation Limited","EQ","12-APR-1995",10,1,"INE340A01012",10
"BIRLACOT","Birla Cotsyn (India) Limited","EQ","30-JUL-2008",1,1,"INE655I01024",1
"BIRLAERIC","Birla Ericsson Optical Limited","EQ","06-DEC-1995",10,1,"INE800A01015",10
"BIRLAMONEY","Aditya Birla Money Limited","EQ","07-FEB-2008",1,1,"INE865C01022",1
"BIRLAPOWER","Birla Power Solutions Limited","EQ","06-JUN-2007",1,1,"INE224B01024",1
"BLBLIMITED","BLB Limited","EQ","31-MAY-2000",1,1,"INE791A01024",1
"BLISSGVS","Bliss GVS Pharma Limited","EQ","26-JUL-2010",1,1,"INE416D01022",1
"BLKASHYAP","B. L. Kashyap and Sons Limited","EQ","17-MAR-2006",1,1,"INE350H01032",1
"BLUEDART","Blue Dart Express Limited","EQ","12-DEC-2002",10,1,"INE233B01017",10
"BLUESTARCO","Blue Star Limited","EQ","15-JUN-2000",2,1,"INE472A01039",2
"BLUESTINFO","Blue Star Infotech Limited","EQ","27-SEP-2000",10,1,"INE504B01011",10
"BOC","BOC India Limited","EQ","16-JUN-1999",10,1,"INE473A01011",10
"BOMDYEING","Bombay Dyeing & Mfg Company Limited","EQ","26-APR-1995",10,1,"INE032A01015",10
"BOSCHLTD","Bosch Limited","EQ","12-MAY-2003",10,1,"INE323A01026",10
"BPCL","Bharat Petroleum Corporation Limited","EQ","13-SEP-1995",10,1,"INE029A01011",10
"BPL","BPL Limited","EQ","14-JUN-1995",10,1,"INE110A01019",10
"BRANDHOUSE","Brandhouse Retails Limited","EQ","27-MAR-2009",10,1,"INE317J01011",10
"BRFL","Bombay Rayon Fashions Limited","EQ","05-DEC-2005",10,1,"INE589G01011",10
"BRIGADE","Brigade Enterprises Limited","EQ","31-DEC-2007",10,1,"INE791I01019",10
"BRITANNIA","Britannia Industries Limited","EQ","05-NOV-1998",2,1,"INE216A01022",2
"BROADCAST","Broadcast Initiatives Limited","EQ","07-MAR-2007",10,1,"INE698H01018",10
"BSELINFRA","BSEL Infrastructure Realty Limited","EQ","07-FEB-2001",10,1,"INE395A01016",10
"BSL","BSL Limited","EQ","27-JUL-1995",10,1,"INE594B01012",10
"BSTRANSCOM","BS TransComm Limited","EQ","27-OCT-2010",10,1,"INE043K01011",10
"BURNPUR","Burnpur Cement Limited","EQ","03-JAN-2008",10,1,"INE817H01014",10
"BVCL","Barak Valley Cements Limited","EQ","23-NOV-2007",10,1,"INE139I01011",10
"CADILAHC","Cadila Healthcare Limited","EQ","18-APR-2000",5,1,"INE010B01019",5
"CAIRN","Cairn India Limited","EQ","09-JAN-2007",10,1,"INE910H01017",10
"CALSOFT","California Software Company Limited","EQ","28-JUN-2000",10,1,"INE526B01014",10
"CAMBRIDGE","Cambridge Solutions Limited","EQ","09-MAR-2005",10,1,"INE692G01013",10
"CAMLIN","Camlin Limited","EQ","28-JUL-2008",1,1,"INE760A01029",1
"CANBK","Canara Bank","EQ","23-DEC-2002",10,1,"INE476A01014",10
"CANDC","C & C Constructions Limited","EQ","26-FEB-2007",10,1,"INE874H01015",10
"CANFINHOME","Can Fin Homes Limited","EQ","10-MAY-1995",10,1,"INE477A01012",10
"CANTABIL","Cantabil Retail India Limited","EQ","12-OCT-2010",10,1,"INE068L01016",10
"CARBORUNIV","Carborundum Universal Limited","EQ","03-APR-1996",2,1,"INE120A01026",2
"CAROLINFO","Carol Info Services Limited","EQ","12-JAN-2000",10,1,"INE198A01014",10
"CASTROL","Castrol India Limited","EQ","16-AUG-2007",10,1,"INE172A01019",10
"CCCL","Consolidated Construction Consortium Limited","EQ","15-OCT-2007",2,1,"INE429I01024",2
"CCL","CCL Products (India) Limited","EQ","07-JUN-2004",10,1,"INE421D01014",10
"CEATLTD","CEAT Limited","EQ","01-FEB-2008",10,1,"INE482A01020",10
"CEBBCO","Commercial Engineers & Body Builders Co Limited","EQ","18-OCT-2010",10,1,"INE209L01016",10
"CELEBRITY","Celebrity Fashions Limited","EQ","12-JAN-2006",10,1,"INE185H01016",10
"CELESTIAL","Celestial Biolabs Limited","EQ","17-JUL-2007",10,1,"INE221I01017",10
"CENTENKA","Century Enka Limited","EQ","10-MAY-1995",10,1,"INE485A01015",10
"CENTEXT","Century Extrusions Limited","EQ","20-JUL-2004",1,1,"INE281A01026",1
"CENTRALBK","Central Bank of India","EQ","21-AUG-2007",10,1,"INE483A01010",10
"CENTUM","Centum Electronics Limited","EQ","05-OCT-2007",10,1,"INE320B01020",10
"CENTURYPLY","Century Plyboards (India) Limited","EQ","23-MAR-2006",1,1,"INE348B01021",1
"CENTURYTEX","Century Textiles & Industries Limited","EQ","27-JUN-2003",10,1,"INE055A01016",10
"CERA","Cera Sanitaryware Limited","EQ","02-NOV-2007",5,1,"INE739E01017",5
"CESC","CESC Limited","EQ","08-FEB-1995",10,1,"INE486A01013",10
"CHAMBLFERT","Chambal Fertilizers & Chemicals Limited","EQ","14-JUN-1995",10,1,"INE085A01013",10
"CHEMFALKAL","Chemfab Alkalis Limited","EQ","18-MAY-2006",5,1,"INE479E01028",5
"CHEMPLAST","Chemplast Sanmar Limited","EQ","08-FEB-1995",1,1,"INE488A01027",1
"CHENNPETRO","Chennai Petroleum Corporation Limited","EQ","07-JUN-2000",10,1,"INE178A01016",10
"CHESLINTEX","Cheslind Textiles Limited","EQ","27-JUL-1995",10,1,"INE217C01018",10
"CHETTINAD","Chettinad Cement Corporation Limited","EQ","17-MAY-2007",10,1,"INE132B01011",10
"CHOLAFIN","Cholamandalam Investment and Finance Company Limited","EQ","15-MAY-1996",10,1,"INE121A01016",10
"CINEMAX","Cinemax India Limited","EQ","14-FEB-2007",10,1,"INE704H01014",10
"CINEVISTA","Cinevistaas Limited","EQ","02-MAY-2000",2,1,"INE039B01026",2
"CIPLA","Cipla Limited","EQ","08-FEB-1995",2,1,"INE059A01026",2
"CLASSIC","Classic Diamonds (India) Limited","EQ","05-MAY-2004",2,1,"INE987C01024",2
"CLNINDIA","Clariant Chemicals (India) Limited","EQ","14-JUN-1995",10,1,"INE492A01029",10
"CLUTCHAUTO","Clutch Auto Limited","EQ","23-JAN-2007",10,1,"INE779B01019",10
"CMAHENDRA","C. Mahendra Exports Limited","EQ","20-JAN-2011",10,1,"INE378J01013",10
"CMC","CMC Limited","EQ","09-JUN-1999",10,1,"INE314A01017",10
"COALINDIA","Coal India Limited","EQ","04-NOV-2010",10,1,"INE522F01014",10
"COLPAL","Colgate Palmolive (India) Limited","EQ","17-DEC-2007",1,1,"INE259A01022",1
"CONCOR","Container Corporation of India Limited","EQ","07-MAY-1997",10,1,"INE111A01017",10
"CONSOFINVT","Consolidated Finvest & Holdings Limited","EQ","29-MAR-2005",10,1,"INE025A01027",10
"CORDSCABLE","Cords Cable Industries Limited","EQ","13-FEB-2008",10,1,"INE792I01017",10
"COREPROTEC","Core Projects and Technologies Limited","EQ","25-MAY-2007",2,1,"INE247G01024",2
"COROMANDEL","Coromandel International Limited","EQ","31-MAY-1995",1,1,"INE169A01031",1
"CORPBANK","Corporation Bank","EQ","01-DEC-1997",10,1,"INE112A01015",10
"COSMOFILMS","Cosmo Films Limited","EQ","25-MAY-1995",10,1,"INE757A01017",10
"COX&KINGS","Cox & Kings Limited","EQ","11-DEC-2009",10,1,"INE008I01018",10
"CPIL","Career Point Infosystems Limited","EQ","06-OCT-2010",10,1,"INE521J01018",10
"CREATIVEYE","Creative Eye Limited","EQ","20-DEC-2000",5,1,"INE230B01021",5
"CRESTANI","Crest Animation Studios Limited","EQ","31-AUG-2001",10,1,"INE774A01012",10
"CREWBOS","Crew B.O.S. Products Limited","EQ","24-SEP-2004",10,1,"INE514G01019",10
"CRISIL","CRISIL Limited","EQ","28-JUN-1995",10,1,"INE007A01017",10
"CROMPGREAV","Crompton  Greaves Limited","EQ","01-MAR-1995",2,1,"INE067A01029",2
"CRONIMET","Cronimet Alloys India Limited","EQ","30-JUN-2008",10,1,"INE592I01011",10
"CTE","Cambridge Technology Enterprises Limited","EQ","07-FEB-2007",10,1,"INE627H01017",10
"CUB","City Union Bank Limited","EQ","25-AUG-1998",1,1,"INE491A01021",1
"CUBEXTUB","Cubex Tubings Limited","EQ","24-APR-1996",10,1,"INE144D01012",10
"CUMMINSIND","Cummins India Limited","EQ","29-MAR-1995",2,1,"INE298A01020",2
"CYBERMEDIA","Cyber Media (India) Limited","EQ","10-JUN-2005",10,1,"INE278G01037",10
"CYBERTECH","Cybertech Systems And Software Limited","EQ","27-JAN-1999",10,1,"INE214A01019",10
"DAAWAT","LT Foods Limited","EQ","18-DEC-2006",10,1,"INE818H01012",10
"DABUR","Dabur India Limited","EQ","28-APR-1999",1,1,"INE016A01026",1
"DALMIASUG","Dalmia Bharat Sugar and Industries Limited","EQ","17-JAN-1996",2,1,"INE495A01022",2
"DATAMATICS","Datamatics Global Services Limited","EQ","07-MAY-2004",5,1,"INE365B01017",5
"DBCORP","D.B.Corp Limited","EQ","06-JAN-2010",10,1,"INE950I01011",10
"DBREALTY","D B Realty Limited","EQ","24-FEB-2010",10,1,"INE879I01012",10
"DCB","Development Credit Bank Limited","EQ","27-OCT-2006",10,1,"INE503A01015",10
"DCHL","Deccan Chronicle Holdings Limited","EQ","22-DEC-2004",2,1,"INE137G01027",2
"DCM","DCM  Limited","EQ","29-MAR-1995",10,1,"INE498A01018",10
"DCMSRMCONS","DCM Shriram Consolidated Limited","EQ","12-APR-1995",2,1,"INE499A01024",2
"DCW","DCW Limited","EQ","25-MAY-1995",2,1,"INE500A01029",2
"DECCANCE","Deccan Cements Limited","EQ","02-AUG-2007",10,1,"INE583C01013",10
"DECOLIGHT","Decolight Ceramics Limited","EQ","19-JUN-2007",10,1,"INE172I01012",10
"DEEPAKFERT","Deepak Fertilizers and Petrochemicals Corporation Limited","EQ","17-JAN-2003",10,1,"INE501A01019",10
"DEEPAKNTR","Deepak Nitrite Limited","EQ","29-SEP-2010",10,1,"INE288B01011",10
"DEEPIND","Deep Industries Limited","EQ","09-MAR-2010",10,1,"INE677H01012",10
